State;population;murders total;murder rate
District of Columbia;670050;459;0,685023506
Louisiana;4624047;2179;0,471232234
Mississippi;2949965;1176;0,398648798
Alabama;5039877;1880;0,373024977
Alaska;732673;267;0,364419052
Missouri;6168187;2136;0,346293003
South Carolina;5190705;1610;0,310169813
Maryland;6165129;1691;0,274284609
Illinois;12671469;3409;0,269029581
Tennessee;6975218;1824;0,261497203
Arkansas;3025891;773;0,255461945
Nevada;3143991;799;0,254135588
Kentucky;4509394;1066;0,2363954
Indiana;6805985;1608;0,236262642
Oklahoma;3986639;941;0,236038427
New Mexico;2115877;495;0,233945546
Georgia;10799566;2456;0,227416546
Delaware;1003384;217;0,216268149
Ohio;11780017;2508;0,212902919
North Carolina;10551162;2225;0,210877247
West Virginia;1782959;335;0,187889907
Pennsylvania;12964056;2395;0,184741565
Kansas;2934582;542;0,184694106
Florida;21781128;3909;0,179467289
Texas;29527941;5046;0,17088899
Virginia;8642274;1459;0,168821308
Michigan;10050811;1588;0,1579972
Arizona;7276316;1094;0,150350809
Wisconsin;5895908;862;0,146203095
California;39237836;5562;0,141750937
Montana;1104271;154;0,139458521
Colorado;5812069;796;0,136956392
Wyoming;578803;73;0,126122359
New Jersey;9267130;1168;0,126036864
Nebraska;1963692;225;0,114580087
Washington;7738692;853;0,110225346
Oregon;4246155;446;0,105036203
South Dakota;895376;90;0,100516431
Connecticut;3605597;341;0,094575184
North Dakota;774948;69;0,089038232
Vermont;645570;57;0,088294066
Idaho;1900923;166;0,087325999
New York;19835913;1705;0,085955207
Iowa;3193079;273;0,085497415
Utah;3322389;282;0,084878682
Maine;1372247;112;0,081617959
Minnesota;5707390;461;0,080772472
Massachusetts;6984723;472;0,067576051
New Hampshire;1388992;88;0,063355297
Rhode Island;1095610;63;0,057502213
Hawaii;1441553;63;0,043702868
